"JOB","FILE","stageName","Stagetype"
"Jx_REPART_01_EXTR_BI_IDE12CMPLX","DS_EXTRACT_BI_IDE12CMPLX_EN.ds","DS_EXTRACT_BI_IDE12CMPLX_EN","Input"
"Jx_REPART_01_EXTR_BI_IDE12CMPLX","DS_EXTRACT_BI_IDE12CMPLX_FR.ds","DS_EXTRACT_BI_IDE12CMPLX_FR","Input"
"Jx_REPART_01_EXTR_BI_IDE12CMPLX","SF_Liste_COAD_IDE12CMPLX_FRPAR_FIC_LISTE_COAD_IDE12CMPLX_FR","SF_Liste_COAD_IDE12CMPLX_FR","Input"
"Jx_REPART_01_EXTR_BI_IDE12CMPLX","SF_Liste_COAD_IDE12CMPLX_ENPAR_FIC_LISTE_COAD_IDE12CMPLX_EN","SF_Liste_COAD_IDE12CMPLX_EN","Input"
"Jx_REPART_01_EXTR_BI_IDE12CMPLX_2","DS_EXTRACT_BI_IDE12CMPLX_EN.ds","DS_EXTRACT_BI_IDE12CMPLX_EN","Input"
"Jx_REPART_01_EXTR_BI_IDE12CMPLX_2","DS_EXTRACT_BI_IDE12CMPLX_FR.ds","DS_EXTRACT_BI_IDE12CMPLX_FR","Input"
"Jx_REPART_01_EXTR_BI_IDE12CMPLX_2","SF_Liste_COAD_IDE12CMPLX_ENPAR_FIC_LISTE_COAD_IDE12CMPLX_EN","SF_Liste_COAD_IDE12CMPLX_EN","Input"
"Jx_REPART_01_EXTR_BI_IDE12CMPLX_2","SF_Liste_COAD_IDE12CMPLX_FR_01","SF_Liste_COAD_IDE12_FR_01","Input"
"Jx_REPART_01_EXTR_BI_IDE12CMPLX_2","SF_Liste_COAD_IDE12CMPLX_FR_05","SF_Liste_COAD_IDE12_FR_05","Input"
"Jx_REPART_01_EXTR_BI_IDE12CMPLX_2","SF_Liste_COAD_IDE12CMPLX_FR_06","SF_Liste_COAD_IDE12_FR_06","Input"
"Jx_REPART_01_EXTR_BI_IDE12CMPLX_2","SF_Liste_COAD_IDE12CMPLX_FR_07","SF_Liste_COAD_IDE12_FR_07","Input"
"Jx_REPART_01_EXTR_BI_IDE12CMPLX_2","SF_Liste_COAD_IDE12CMPLX_FR_08","SF_Liste_COAD_IDE12_FR_08","Input"
"Jx_REPART_01_EXTR_BI_IDE12CMPLX_2","SF_Liste_COAD_IDE12CMPLX_FR_09","SF_Liste_COAD_IDE12_FR_09","Input"
"Jx_REPART_01_EXTR_BI_IDE12CMPLX_2","SF_Liste_COAD_IDE12CMPLX_FR_10","SF_Liste_COAD_IDE12_FR_10","Input"
"Jx_REPART_01_EXTR_BI_IDE12CMPLX_2","SF_Liste_COAD_IDE12CMPLX_FR_02","SF_Liste_COAD_IDE12_FR_02","Input"
"Jx_REPART_01_EXTR_BI_IDE12CMPLX_2","SF_Liste_COAD_IDE12CMPLX_FR_03","SF_Liste_COAD_IDE12_FR_03","Input"
"Jx_REPART_01_EXTR_BI_IDE12CMPLX_2","SF_Liste_COAD_IDE12CMPLX_FR_04","SF_Liste_COAD_IDE12_FR_04","Input"
"Jx_REPART_01_EXTR_BI_IDE12CMPLX_2","SF_Liste_COAD_IDE12CMPLX_FR_12","SF_Liste_COAD_IDE12_FR_12","Input"
"Jx_REPART_01_EXTR_BI_IDE12CMPLX_2","SF_Liste_COAD_IDE12CMPLX_FR_11","SF_Liste_COAD_IDE12_FR_11","Input"
"Jx_REPART_01_EXTR_BI_IDE12CMPLX_2","SF_Liste_COAD_IDE12CMPLX_FR_13","SF_Liste_COAD_IDE12_FR_13","Input"
"Jx_REPART_01_EXTR_BI_IDE12CMPLX_2","SF_Liste_COAD_IDE12CMPLX_FR_14","SF_Liste_COAD_IDE12_FR_14","Input"
"Jx_REPART_01_EXTR_BI_IDE12CMPLX_2","SF_Liste_COAD_IDE12CMPLX_FR_15","SF_Liste_COAD_IDE12_FR_15","Input"
"Jx_FEUILLET_07_APP_DECOMPTE_ROUTAGE_EDIT","DFN003.ds","DS_FIC_COPSS_DECOMPTE","Output"
"Jx_FEUILLET_07_APP_DECOMPTE_ROUTAGE_EDIT","ROUTAG_FEUILLETN_EDIT_REQ.csv","SF_REJETS_NB_RAP_DECOMPTE_ROUTAGE_EDIT_OSCAR_PENEF","Input"
"Jx_FEUILLET_07_APP_DECOMPTE_ROUTAGE_EDIT","DS_RAP_ROUTAGE_EDIT_OSCAR_PENEF_DECOMPTE.ds","DS_RAP_ROUTAGE_EDIT_OSCAR_PENEF_DECOMPTE","Output"
