Projet,job,file,stage,idIO,typeIO
MGTPRD,Jx_LABISValidODSfOCTAV01ExtrJEUCLE,#ParRepDataset#Ds_LABISValidODSfOCTAV_JEUCLE.ds,VALID_OCTAVT_JEUCLE,V0S1P1,CustomInput
MGTPRD,Jx_LABISValidODSfOCTAV01ExtrMARQUE,#ParRepDataset#Ds_LABISValidODSfOCTAV_MARQUE.ds,VALID_OCTAVT_MARQUE,V0S1P1,CustomInput
MGTPRD,Jx_LABISValidODSfOCTAV01ExtrMOTIFNONGEST,#ParRepDataset#Ds_LABISValidODSfOCTAVT_MOTIFNONGEST.ds,VALID_OCTAVT_MOTIFNONGEST,V0S1P1,CustomInput
MGTPRD,Jx_LABISValidODSfOCTAV01ExtrNOMPARTPT,#ParRepDataset#Ds_LABISValidODSfOCTAV_NOMPARTPT.ds,VALID_OCTAVT_NOMPARTPT,V0S1P1,CustomInput
MGTPRD,Jx_LABISValidODSfOCTAV01ExtrOEUV,#ParRepDataset#Ds_LABISValidODSfOCTAV_OEUV.ds,VALID_OCTAVT_OEUV,V0S1P1,CustomInput
MGTPRD,Jx_LABISValidODSfOCTAV01ExtrOEUVAV,#ParRepDataset#Ds_LABISValidODSfOCTAV_OEUVAV.ds,VALID_OCTAVT_OEUVAV,V0S1P1,CustomInput
MGTPRD,Jx_LABISValidODSfOCTAV01ExtrOEUVDECLT,#ParRepDataset#Ds_LABISValidODSfOCTAV_OEUVDECLT.ds,VALID_OCTAVT_OEUVDECLT,V0S1P1,CustomInput
MGTPRD,Jx_LABISValidODSfOCTAV01ExtrOEUVINDIV,#ParRepDataset#Ds_LABISValidODSfOCTAV_OEUVINDIV.ds,VALID_OCTAVT_OEUVINDIV,V0S1P1,CustomInput
MGTPRD,Jx_LABISValidODSfOCTAV01ExtrPARTPT,#ParRepDataset#Ds_LABISValidODSfOCTAV_PARTPT.ds,VALID_OCTAVT_PARTPT,V0S1P1,CustomInput
MGTPRD,Jx_LABISValidODSfOCTAV01ExtrPRDTPUB,#ParRepDataset#Ds_LABISValidODSfOCTAV_PRDTPUB.ds,VALID_OCTAVT_PRDTPUB,V0S1P1,CustomInput
MGTPRD,Jx_LABISValidODSfOCTAV01ExtrPROGTYP,#ParRepDataset#Ds_LABISValidODSfOCTAV_PROGTYP.ds,VALID_OCTAVT_PROGTYP,V0S1P1,CustomInput
MGTPRD,Jx_LABISValidODSfOCTAV01ExtrPROGTYPEITM,#ParRepDataset#Ds_LABISValidODSfOCTAV_PROGTYPEITM.ds,VALID_OCTAVT_PROGTYPEITM,V0S1P1,CustomInput
MGTPRD,Jx_LABISValidODSfOCTAV01ExtrPUB,#ParRepDataset#Ds_LABISValidODSfOCTAV_PUB.ds,VALID_OCTAVT_PUB,V0S1P1,CustomInput
